iter	RMSE
0	5.005873738e+10
1	4.971734378e+10
2	4.941945283e+10
3	4.911221722e+10
4	4.879453213e+10
5	4.852307923e+10
6	4.823096595e+10
7	4.793425324e+10
8	4.768354912e+10
9	4.741698575e+10
10	4.716738125e+10
11	4.690904975e+10
12	4.668174129e+10
13	4.643037506e+10
14	4.620173668e+10
15	4.591872301e+10
16	4.560171534e+10
17	4.535624738e+10
18	4.514563552e+10
19	4.495714356e+10
20	4.47448965e+10
21	4.4556999e+10
22	4.436855219e+10
23	4.416933238e+10
24	4.399638626e+10
25	4.380964795e+10
26	4.364098212e+10
27	4.347902771e+10
28	4.331865959e+10
29	4.310199742e+10
30	4.293467254e+10
31	4.271775003e+10
32	4.251954222e+10
33	4.238074376e+10
34	4.213071251e+10
35	4.198041903e+10
36	4.182694713e+10
37	4.167051672e+10
38	4.148578613e+10
39	4.132727037e+10
40	4.120163189e+10
41	4.100027157e+10
42	4.083042313e+10
43	4.069940521e+10
44	4.056298442e+10
45	4.043206703e+10
46	4.030170579e+10
47	4.009708687e+10
48	3.997680998e+10
49	3.986649487e+10
50	3.970508458e+10
51	3.956558498e+10
52	3.944603021e+10
53	3.929052032e+10
54	3.91837506e+10
55	3.900166978e+10
56	3.884554881e+10
57	3.87174236e+10
58	3.856428228e+10
59	3.846782567e+10
60	3.834545986e+10
61	3.823769507e+10
62	3.813868583e+10
63	3.804496887e+10
64	3.791292251e+10
65	3.782829598e+10
66	3.76965013e+10
67	3.7592995e+10
68	3.750327256e+10
69	3.742331283e+10
70	3.728916498e+10
71	3.720926695e+10
72	3.712247267e+10
73	3.696710084e+10
74	3.684569072e+10
75	3.67291553e+10
76	3.661323177e+10
77	3.651714562e+10
78	3.642706419e+10
79	3.631379294e+10
80	3.624245899e+10
81	3.616808428e+10
82	3.608201017e+10
83	3.597197132e+10
84	3.586321461e+10
85	3.579266951e+10
86	3.568737462e+10
87	3.56017406e+10
88	3.551802177e+10
89	3.543921642e+10
90	3.534903155e+10
91	3.525335191e+10
92	3.518287269e+10
93	3.512492546e+10
94	3.5060398e+10
95	3.499594583e+10
96	3.493201351e+10
97	3.484441964e+10
98	3.473131142e+10
99	3.465061998e+10
100	3.459334538e+10
101	3.450268021e+10
102	3.440536814e+10
103	3.431607853e+10
104	3.424506109e+10
105	3.419310871e+10
106	3.412433061e+10
107	3.40754135e+10
108	3.402994954e+10
109	3.397001884e+10
110	3.385733868e+10
111	3.379600473e+10
112	3.374030203e+10
113	3.369816207e+10
114	3.365225969e+10
115	3.353976958e+10
116	3.349349571e+10
117	3.344092318e+10
118	3.33932329e+10
119	3.332327748e+10
120	3.324051643e+10
121	3.317257002e+10
122	3.312803633e+10
123	3.305592882e+10
124	3.301407801e+10
125	3.297032774e+10
126	3.292889811e+10
127	3.28874106e+10
128	3.283243124e+10
129	3.275540788e+10
130	3.269705235e+10
131	3.266528989e+10
132	3.261327642e+10
133	3.254796606e+10
134	3.251383618e+10
135	3.246465051e+10
136	3.242993783e+10
137	3.237145748e+10
138	3.232783075e+10
139	3.22699851e+10
140	3.223640184e+10
141	3.218426729e+10
142	3.212840603e+10
143	3.209818195e+10
144	3.206274694e+10
145	3.199792622e+10
146	3.194234394e+10
147	3.18816188e+10
148	3.185113521e+10
149	3.179999176e+10
150	3.174476481e+10
151	3.170085414e+10
152	3.165992436e+10
153	3.163391262e+10
154	3.159342485e+10
155	3.155304324e+10
156	3.152531542e+10
157	3.146874834e+10
158	3.143911873e+10
159	3.139267142e+10
160	3.136337343e+10
161	3.133136876e+10
162	3.130667757e+10
163	3.125825159e+10
164	3.121480612e+10
165	3.117718239e+10
166	3.115336028e+10
167	3.110440253e+10
168	3.10797541e+10
169	3.104186241e+10
170	3.099834571e+10
171	3.095767577e+10
172	3.091507037e+10
173	3.088602041e+10
174	3.086384961e+10
175	3.084064987e+10
176	3.082169657e+10
177	3.07646127e+10
178	3.073315878e+10
179	3.07125234e+10
180	3.068730901e+10
181	3.0667809e+10
182	3.06477896e+10
183	3.061472234e+10
184	3.059415581e+10
185	3.057070343e+10
186	3.055181427e+10
187	3.05340514e+10
188	3.050144473e+10
189	3.047974763e+10
190	3.043132468e+10
191	3.041360782e+10
192	3.037469577e+10
193	3.035164719e+10
194	3.031999211e+10
195	3.030038609e+10
196	3.027697326e+10
197	3.024439169e+10
198	3.021144237e+10
199	3.01948467e+10
200	3.017681075e+10
201	3.014280627e+10
202	3.012349375e+10
203	3.010650163e+10
204	3.008049221e+10
205	3.006136304e+10
206	3.002506395e+10
207	2.999120923e+10
208	2.994512503e+10
209	2.991716185e+10
210	2.989949617e+10
211	2.987664906e+10
212	2.984095588e+10
213	2.981452859e+10
214	2.980148639e+10
215	2.978061669e+10
216	2.976701963e+10
217	2.974617567e+10
218	2.972500098e+10
219	2.970712725e+10
220	2.967684926e+10
221	2.966546647e+10
222	2.965053685e+10
223	2.963832319e+10
224	2.961727791e+10
225	2.960019146e+10
226	2.957080745e+10
227	2.955795757e+10
228	2.953146125e+10
229	2.950459367e+10
230	2.948992723e+10
231	2.947005506e+10
232	2.945892455e+10
233	2.944158039e+10
234	2.940864902e+10
235	2.93925018e+10
236	2.937768549e+10
237	2.936664575e+10
238	2.933357256e+10
239	2.932189465e+10
240	2.930231896e+10
241	2.928828247e+10
242	2.927177898e+10
243	2.925948734e+10
244	2.924698673e+10
245	2.923175617e+10
246	2.920872501e+10
247	2.919027178e+10
248	2.915157982e+10
249	2.913810573e+10
250	2.912791972e+10
251	2.91023034e+10
252	2.909210394e+10
253	2.906450185e+10
254	2.905415929e+10
255	2.904122073e+10
256	2.902283286e+10
257	2.900138762e+10
258	2.897285524e+10
259	2.896294453e+10
260	2.895302879e+10
